Facility Name,Facility Address,Nitrogen Oxides,PM10,PM2.5,Volatile Organic Compounds
ASPEN OPERATING; LLC - SINK CREEK C.S.,SW NW SEC 12 T12S R98W,49.15,0.05245,0.05245,2.8109
ASPEN VALLEY HOSPITAL,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
Aspen-Pitkin Co/Sardy F,Unknown,35.73213054,3.020299268,2.640526619,9.589444817
ASPHALT CONSTRUCTORS,7040 W US HIGHWAY 160,1.51,1.68,0.39375,0.88
ASPHALT PAVING CO RALSTON QUARRY,6569 HIGHWAY 93,10.4,94.9769,22.759358,22.2
ASPHALT SPECIALITIES CO INC,9113 QUINCE ST,6.91158,6.64575,1.557598,8.50656
ASPHALT SPECIALTIES -ERIE HMA FACILITY,3220 COUNTY ROAD 8,15.45,14.15,3.316411,15.525
ASPHALT SPECIALTIES- AS-3 ASPHALT PLANT,33501 US HWY 6 AT I-70,6.875,4.225,0.990234,4.3
AT&T,2535 E 40TH AVE,12.54,0.36575,0.36575,0.335446
AT&T - GEOCODE CO1313,1425 CHAMPA ST,47.1616,2.867686,2.53746,1.35993
AT&T - HUDSON FACILITY,SEC 1 T1N R62W  ON HWY 52,7.2615,0.003643,0.003482,0.6
AT&T - MILNER MOUNTAIN FACILITY,9024 Hi County Rd 25E,0.22,0.01,0.009559,0.000012
AT&T MOBILITY - ASPEN PARK,26755 LIGHT LN,0.246605,0.013153,0.013153,0.049369
AT&T MOBILITY - CRIPPLE CREEK,997 TELLER COUNTY 1,0.247369,0.013153,0.013153,0.049369
AT&T MOBILITY - EVERGREEN,6106 S BROOK FOREST RD,0.246605,0.013153,0.013153,0.049369
AT&T MOBILITY - LA JUNTA,TOWER LAND HWY 10 & RD 27,0.247265,0.013153,0.013153,0.049369
AT&T MOBILITY - LARKSPUR,650 PERRY PARK AVE,0.246605,0.013153,0.013153,0.049369
AT&T MOBILITY - LOWELL,3501 S LINCOLN ST,0.246605,0.013153,0.013153,0.049369
AT&T MOBILITY - MESA POINT,SEC 34 T13S R97W,0.246605,0.013153,0.013153,0.049369
AT&T MOBILITY - MONTROSE FLAT TOP,66266 FLAT TOP RD,0.246605,0.013153,0.013153,0.049369
AT&T MOBILITY - OWL CREEK,14615 COUNTY ROAD 122,0.246605,0.013153,0.012573,0.049369
AT&T MOBILITY - RED FEATHERS,214 CHICKASAW CT,0.246605,0.013153,0.013153,0.049369
AT&T MOBILITY - STRASBURG,58900 E SIXTH AVE,0.246605,0.013153,0.013153,0.049369
AT&T MOBILITY - TAMPA,18002 COUNTY RD 63,0.246605,0.013153,0.013153,0.049369
AT&T MOBILITY - WOODLAND PARK,5903 TROUT BROOK,0.246605,0.013153,0.013153,0.049369
ATHANASIOU VALLEY,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
ATLAS ROOFING CORPORATION,11020 LEROY DR,0.4,1.04,1.04,39.61
ATMEL CORP,1150 E CHEYENNE MOUNTAIN BLVD,49.4,3.6268,3.6268,76.7115
ATS DIESEL PERFORMANCE,5293 WARD RD UNIT 11,3.6,0.6,0.6,0.6
AUGUSTUS ENERGY - QUICK DRAW,SWSE S14 T2S R45W,27.5757,0.0905,0.0905,11.0973
AUGUSTUS ENERGY - REPUBLICAN RIVER CS,SW SW SEC 10 T1S R45W,49.8689,0.2665,0.2665,8.52234
AUGUSTUS ENERGY - YGS 15,NENE S28 T5N R46W,21.5656,0.0745,0.0745,5.62788
AUGUSTUS ENERGY - YGS 19,SW SW SEC 8 T3N R46W,9.9,0.0186,0.0186,0.4
AUGUSTUS ENERGY - YGS SITE 1,NW NW SEC 30 T5N R46W,22.9,0.406,0.406,11.4
AUGUSTUS ENERGY - YGS SITE 16,SEC 17 T1N R44W,10.63,0.0745,0.0745,6.25
AUGUSTUS ENERGY - YGS SITE 4,SEC 32 T4N R45W,34.3772,0.054,0.054,5.00602
AUGUSTUS ENERGY - YGS SITE 10,SEC 4 T3N R46W,19.9,0.0535,0.0535,0.3
AUGUSTUS ENERGY - YGS SITE 11,SEC 10 T4N R46W,15.05,0.2025,0.2025,2.7
AUGUSTUS ENERGY PARTNERS - YGS SITE 10,SEC 4 T3N R46W,9.15,0.1627,0.1627,1.9
AUGUSTUS ENERGY PARTNERS - YGS SITE 3,NE SE SEC 25 T4N R46W,15.75,0.2665,0.2665,2.3
AURORA MEDICAL CTR - MAIN (ALSO SOUTH) C,1501 S POTOMAC ST,5.3273,0.1895,0.1895,0.32865
AURORA ORGANIC DAIRY HIGH PLAINS,28520 COUNTY ROAD 72,1.38392,0.027926,0.027926,0.049647
AURORA PRESBYTERIAN HOSPITAL,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
AURORA RGNL MEDICAL CENTER,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
AURORA WATER - PBWPF,5070 S Robertsdale Way,6.79266,0.393778,0.385092,0.984444
AVAGO TECHNOLOGIES US; INC.,4380 ZIEGLER RD,19.4,1.05,1.05,49.71
AVALON FUNERAL HOME,1316 CENTAUR VILLAGE DR,0.59,0.22,0.187297,0.005
AVAYA INC.,1200 W 120TH AVE,11.373,1.586,1.576625,1.876
AVIATION ACRES,Unknown,0.0029965,0.0109119,0.00752919,0.00693685
AVISTA HOSPITAL,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
BADGER MIDSTREAM SERVICES - BADGER WGP,NE SW SEC 29 T8S R103W,50.02484,1.074418,1.074418,31.39102
BADGER MOUNTAIN,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
BALL METAL BEVERAGE CONTAINER CORP,4525 INDIANA ST,7.61355,1.34863,1.34863,84.878745
BAND-IT/IDEX; INC.,4799 DAHLIA ST,0.259,0.7425,0.427247,0.027
BARBER FIELD,Unknown,0.00302282,0.0110077,0.00759534,0.00699779
BARGATH - RABBIT BRUSH C.S.,NW SE S32 T6S R95W,177.82,5.5326,5.5326,64.32
BARGATH LLC - ANVIL POINTS CS,SW NW SEC 20 T6S R94W,131,2.768,2.768,52.6
BARGATH LLC - BLACK SULPHUR CREEK,SW S19 T2S R97W,31.9,0.127908,0.127908,0.35
BARGATH LLC - CALLAHAN C.S.,SENE SEC 3 T7S R96W,102,2.35,2.35,64.45
BARGATH LLC - CLOUGH CS,SWSE SEC 16 T6S R94W,100.8,1.9756,1.9756,82.9
BARGATH LLC - COTTONWOOD POINT CS,SWNW SEC 34 T7S R95W,132.6,2.268,2.268,86.4
BARGATH LLC - CRAWFORD TRAIL,SW SE S23 T6S R94W,208.02,6.262,6.262,71.5
BARGATH LLC - GRAND VALLEY,SE SE SEC 36 T5S R96W,94.605882,1.479812,1.479812,68.7
BARGATH LLC - GREASEWOOD CS,SW NE SEC 8 T2S R96W,96.2765,1.96,1.96,45.8166
BARGATH LLC - HAYBARN,NE NW SEC 2 T7S R96W,54.8,2.122428,2.122428,20.3
BARGATH LLC - HAYES GULCH,SENE SEC 1 T7S R96W,115.8,2.352,2.352,58.05
BARGATH LLC - HEATH CS,SENE SEC 28 T6S R94W,220.133748,4.5085,4.5085,83.87859
BARGATH LLC - HOOVER EXPRESS,NWNE SEC 32 T7S R96W,132,2.7,2.4525,71.69153
BARGATH LLC - JANGLES,SWSE SEC 20 T6S R96W,68,1.55,1.55,43.55
BARGATH LLC - PARACHUTE,N/2 NE SEC 33 T6S R96W,299.2131,9.682396,9.682396,146.320203
BARGATH LLC - RILEY CS,NW SW SEC 3 T6S R96W,115.8004,2.352,2.352,62.39994
BARGATH LLC - ROAN CLIFFS GAS PLANT,SE NE SEC 2 T7S R96W,94.6,1.796839,1.796839,47.6
BARGATH LLC - RYAN GULCH GAS,NE NE SEC 12 T2S R98W,192,5.6395,5.6395,127.15048
BARGATH LLC - SAGEBRUSH GAS PROCESSING,NE SEC 27 T2S R99W,157.2771,3.4585,3.4585,44.811712
BARGATH LLC - SHARRARD CS,NE SW SEC 21 T6S R94W,131.84,2.98,2.98,60.94
BARGATH LLC - STARKEY GULCH CS,SESE SEC 29 T6S R96W,132,2.6868,2.6868,50.95
BARGATH LLC - UNA COMPRESSOR STATION,SW NW SEC 35 T7S R96W,155.04694,3.6,3.3525,65.52918
BARGATH LLC - WEBSTER HILL,NWSW SEC 14 T6S R94W,172.9479,5.2883,5.2883,82.58948
BARGATH LLC - WHEELER GULCH CS,NENW SEC 34 T6S R96W,115.8,1.8985,1.8985,49.2
BARGATH; LLC - HYRUP PROD FACILITY,NW NW SEC 12 T8S R96W,237.622,5.766,5.706426,124.371
BARGATH; LLC - WASATCH COMPRESSOR YARD,SWSW SEC 33 T6S R95W,86,1.56235,1.56235,82.1904
BARRETT RESOURCES CORP - WASATCH W 13-3,NW/SW SEC 3 T7S R96W,9,0.12,0.12,2.6
BASIN CLINIC,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
BASIN OPERATING - GOVT TRINITY 1-27,NE SE SEC 27 T3N R90W,6.57,0.088528,0.088528,0.15
BASIN OPERATING COMPANY,SW  NW SEC 26 T3N R90W,6.57,0.1125,0.1125,0.15
BASIN OPERATING COMPANY,SW NE SEC 26 T3N R90W,8.05998,0.1175,0.1175,1.9505
BAXTER PASS,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
BAYSWATER EXPL - CUNDALL 1,NENW SEC 12 T1S R68W,1.23459,0.01,0.01,3.563715
BAYSWATER EXPL - SACK 1,NENE SEC 11 T1S R68W,1.8,0.01,0.01,6.331938
BCG LLC DBA FITZGERALDS CASINO,101 MAIN ST & 160 GREGORY ST,6.13095,0.4032,0.385412,0.5467
Beartooth Oil & Gas - BLUE GRAVEL FACILI,NW SW SEC 32 T9N R90W,1.71341,0.95,0.95,2.426476
BEAUGH,Unknown,0.00306442,0.0111592,0.00769986,0.0070941
BEAVER CREEK,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
BELLA HOLSTEINS; INC,13278 COUNTY ROAD 32,2.46432,0.1734,0.169348,0.130968
BELLMORE FARMS,Unknown,0.00371442,0.0135262,0.00933309,0.00859884
BENSON BROTHERS - RED SHALE PIT,NW NW SEC 13 T13S R95W,0.512295,1.340779,0.418165,0.1722
BERRY ENERGY INC,SESW SEC 9 T22S R45W,9.45,0.03085,0.03085,0.430003
BERTHOUD PASS,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
BIJOU BASIN,Unknown,0.00328412,0.0119593,0.00825189,0.0076027
BIJOU SPRINGS RANCH,Unknown,0.00392795,0.0143038,0.00986961,0.00909314
BILL BARRETT - BAILEY COMPRESSOR STATION,E SE SE SEC 22  T6S R92W,166.37,7.77,7.77,193.2
BILL BARRETT - BATTERY 15783 - MDP 4,SWNW SEC 33 T6S R91W,42.099386,1.2,1.2,4.62813
BILL BARRETT - STATE A,SWNE 36 T1S R66W,3.954499,0.02255,0.02255,0.779287
BILL BARRETT CORP - MAMM CREEK CS,SESW SEC 30 T6S R92W,292.06,15.53,15.53,78.367
BILL BARRETT CORP - MDP BOOSTER PUMP,SESE Sec 29 T6S R91W,13.9066,0.444276,0.444276,1.19884
BILL BARRETT CORP - TANK  16885/16902,NENE SEC 36 T6S R92W,2.49,0.18,0.18,9.555
BKEP MATERIALS - PUEBLO FACILITY,510 WEST D ST,0.469,0.086524,0.059043,6.610558
BKEP MATERIALS -COMMERCE CITY FACIL,4310 E 60TH AVE,6.999,0.5824,0.574844,9.263647
BKEP MATERIALS -GRAND JUNCTION FACILITY,202 4TH AVE,2.14,0.21588,0.201713,4.54565
BLACK HILLS ELECTRIC GEN - PUEBLO AIRPOR,SEC 11 T20S R64W,20.18,2.25,1.35,0.97
BLACK HILLS ELECTRIC- AIRPORT INDUSTRIAL,475 WILLIAM M WHITE BLVD,2.27,0.04,0.04,0.09
BLACK HILLS ELECTRIC- PUEBLO POWER PLANT,105 S VICTORIA AVE,6.291,0.243,0.243,0.206
BLACK HILLS ELECTRIC- ROCKY FORD STATION,300 S 14TH ST,80.97,2.8,2.8,1.12
BLACK HILLS ELECTRIC- W.N. CLARK STATION,550 HIGHWAY 50 WEST,822.52,50.05,17.44166,3.77
BLACK HILLS MIDSTREAM - HORSESHOE CANYON,SE SW SEC 10 T9S R97W,35.3,0.57,0.57,66.14
BLACK HOLLOW,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
BLACK RAVEN - AMHERST CS,SW NW SEC 22 T9N R43W,58.1,0.138,0.138,24.26
Blake Field,Unknown,0.439257,0.75744,0.583138,0.963265
BLANCA,Unknown,0.0604484,0.1049895,0.0807149,0.1326082
BLM FIRE CENTER,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
BLUNDELL FUNERAL HOMES; INC. DBA KIBBEY,1108 MONROE AVE,0.68,0.12,0.102162,0.01
BOEING COMPANY,440 Wooten Rd,2.835732,0.04746,0.04746,0.104706
BOPCO - YELLOW CREEK FEDERAL 35-12-1,SWNW SEC 35 T1N R98W,0.523243,0.02,0.02,16.755982
BOPCO - YELLOW CREEK FEDERAL 4-32-1,NENE SEC 4 T1S R98W,2.02878,0.01,0.01,0.027173
BOPCO LP YELLOW CREEK FEDERAL 28-14-1,SW SW SEC 28 T1N R98W,0.523243,0.02,0.02,11.45369
BOPCO; L.P-YELLOW CREEK FEDERAL  3-45-1,NE SE SEC 3 T1S R98W,3.14262,0.01,0.01,19.655181
BOPCO; L.P. - YELLOW CREEK 3-11-1,NW NW SEC 3 T1S R98W,1.96,0.17,0.17,8.91998
BOPCO; L.P. - YELLOW CREEK 33-43-1,NE SE SEC 33 T1N R98W,0.523243,0.02,0.02,3.0219
BOPCO; L.P. - YELLOW CREEK XOM 2-35-1,NWSE SEC 2 T1S R98W,3.14262,0.01,0.01,5.369198
BOPCO; L.P. -YELLOW CREEK FEDERAL 2-22-1,LOT 6 (NENW) SEC 2 T1S R98W,3.14262,0.01,0.01,38.031991
BOPCO; L.P.- YELLOW CREEK 2-42-1,LOT 1 (NENE) SEC 2 T1S R98W,0.523243,0.02,0.02,11.2615
BOPCO; L.P.- YELLOW CREEK 29-32-1,SW NE SEC 29 T1N R98W,0.523243,0.02,0.02,7.896993
BOPCO; L.P.- YELLOW CREEK 33-22-1,SENW SEC 33 T1N R98W,3.14262,0.01,0.01,23.547241
BOPCO; L.P.- YELLOW CREEK 5-32-1,LOT 6 (NWNE) SEC 5 T1S R98W,0.523243,0.02,0.02,20.76
BOPCO; L.P.- YELLOW CREEK FED 27-32-1,SWNE SEC 27 T1N R98W,0.523243,0.02,0.02,22.03842
BOPCO; L.P.- YELLOW CREEK FED 35-33-1,NWSE SEC 35 T1N R98W,0.523243,0.02,0.02,18.16496
BORAL BEST BLOCK - SOUTH PLANT,2700 N FREEWAY,3.02921,0.490357,0.1629808,0.146535
BORDEN INC MEADOW GOLD DISTRIB CTR,450 25TH ST,5.20673,0.321673,0.321673,0.354335
BOULDER CO TRANS - CENTRAL HEATING PLANT,5201 SAINT VRAIN RD,0.22,1.56,0.888608,0.09
BOULDER COMMUNITY HOSPITAL,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
BOULDER COUNTY JAIL,3200 AIRPORT RD,2.002,0.73,0.73,0.1547
BOULDER ELECTRIC MOTOR CO,3867 WALNUT ST,0.02742,0.028167,0.016209,0.019195
Boulder Muni,Unknown,1.765779,3.044846,2.344166,3.87225
BOULDER SCIENTIFIC CO,598 COUNTY HWY 7,2.76,0.21,0.21,19.44
BOYER COFFEE CO,7295 WASHINGTON ST,0.0251,0.03012,0.002008,0.011797
BP AMERICA - PINON COMPRESSOR FACILITY,NW SEC 11 T34N R8W,85,1.46,1.46,24.4
BP AMERICA PROD - CUNDIFF GU C1,NW SE SEC 20 T35N R7W,17.25,0.0585,0.0585,1.47
BP AMERICA PRODUCTION CO. - RICHARDSON,SW SE SEC 1 T34N R8W,18.43,0.045,0.045,0.4
BRANCH SYSTEMS; INC. - STATELINE CS,NWNW SEC 29 T1N R43W,15.9185,0.41628,0.41628,1.30086
BRANCH SYSTEMS; INC. - YUMA WEST,NWNE SEC 20 T3N R47W,17.99992,0.1808,0.1808,7.6
BRANNAN SAND & GRAVEL,1240 ROCK CREEK CIR,4.5375,11.549875,2.707002,2.64
BRANNAN SAND & GRAVEL,4045 FOX ST / 4090 GALAPAGO ST,19.5875,52.410023,11.099455,16.797875
BRANNAN SAND & GRAVEL,7271 COLORADO BLVD,27.501314,24.553131,6.410691,16.045066
BRANSON,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
BRAUN,Unknown,0.00282458,0.0102858,0.0070972,0.00653885
BRIGHTON VAN-AIRE ESTATES,Unknown,0.0191071,0.0695791,0.0480096,0.0442326
BROADACRE LANDFILL - FOUNTAIN LANDFILL,10000 SQUIRREL CREEK RD,5.69,20.92,12.5934,1.02
BROADMOOR HOTEL INC,1 LAKE CIR,2.8,0.06,0.06,3.782695
BROOMFIELD VETERINARY HOSP,5275 W 120TH AVE,0.0015,0.00296,0.00252,0.0015
BROWN'S FORT,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
BRUSH MUNI,Unknown,0.03974832,0.061996082,0.04878636,0.083452079
BRUSHCO FARMS; INC,1500 S CLAYTON ST,6.1925,0.352973,0.352973,0.340588
BUCKHORN RANCH,Unknown,0.20452192,0.19963563,0.1801043,0.27390443
BUCKLEN EQUIPMENT CO,804 N 25TH AVE,0.107915,15.76945,14.781307,0.006244
BUCKLEY AFB,Unknown,9.151254,10.7673,9.156428,14.253818
BUILDERS AGGREGATE CO,18825 HIGHWAY 52,0.103766,13.704731,3.0476105,0.004289
BULK MAIL CENTER,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
BULLOCK MORTUARY,1375 E HAMPDEN AVE,0.004295,0.042372,0.024136,0.073007
BURNHAM FIELD,Unknown,0.00306442,0.0111592,0.00769986,0.0070941
BURNING SYSTEMS; INC,27770 E US HIGHWAY 50,0.00015,0.00023,0.0001426,0.00015
BUTTERBALL; LLC - TURKEY PLANT,150 MAIN ST,22.76,0.488,0.487782609,0.4551
BUTTERBALL. LLC -PLATTEVILLE MILL,450 N FRONT ST,1.67251,9.324364,1.035178,0.03345
BUTTS AAF (FORT CARSON),Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
CABOT OIL & GAS - FOSSIL FEDERAL 4-20,SW NW SEC 20 T44N R16W,12.6,0.12585,0.12585,11.27586
CABOT OIL & GAS - FOSSIL FEDERAL 1-19;2-,SW NE SEC 19 T44N R16W,17.9,0.11415,0.11415,9.890419
CACHE FIELD WATERFLOOD UNIT,SEC 34 & 35  T35N R20W,22.32,0.059,0.059,0.292
CALHAN,Unknown,0.0608636,0.103213,0.0797253,0.1333601
CALX MINERALS - MID CONTINENT QUARRY,SE SEC 36 T5S R89W,24,10.68,2.47676,2.54
CANON INDUSTRIAL CERAMICS; LLC,515 S 9TH ST,2.2,3.27004,3.227659,16.62
CAPPADONA FUNERAL HOME,1020 E FILLMORE ST,0.59,0.22,0.187297,0.05
CAPRI,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
CARDER - HARD SCRABBLE PIT,32625 COUNTY ROAD 3.75,0.680062,0.034003,0.034003,0.086172
CARESTREAM HEALTH; INC,2000 HOWARD SMITH AVE WEST,133.397,17.61531,15.3849868,40.81843
CARGILL CATTLE - YUMA FEEDYARD,12998 COUNTY ROAD 42,7.3585,0.559246,0.559246,0.404718
CARGILL MEAT SOLUTIONS,1505 E BURLINGTON AVE,79.33,29.28,28.58945,27.16
CARTWHEEL,Unknown,0.0032812,0.0119486,0.00824455,0.00759593
CASS FIELD,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
CASTLE LAKES,Unknown,0.00277095,0.0100905,0.00696246,0.00641471
CASTLE PEAK,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
CASTLE PEAK VETERINARY; P.C.,734 CHAMBERS AVE,0.86428,0.20863,0.177617,0.35774
CATERPILLAR INC,4705 E 48TH AVE,1.68,0.16375,0.161228,0.32
CATTLCO (WAS STERLING CATTLE FEEDERS),31838 COUNTY ROAD 385,5.98,0.3,0.3,0.32
CCES PICEANCE - BUCKSKIN MESA CFS-2,SE SW SEC 14 T1N R95W,84.7,2.7,2.7,30.8
CCW PRODUCTS INC,5861 TENNYSON ST,2.4418,0.076306,0.07294,1.260243
CEMEX CONSTRUCTION MATERIALS - LYONS,5134 UTE HWY,765.6,100.937307,35.227505,3.45
